ActualPower;Max Capacity;Location 3;Location 5;Location 7;Location 9
0,142;42,5;2,93;2,855;2,77;2,097
0,332;42,5;2,963;2,892;2,795;2,087
0,563;42,5;2,926;2,853;2,808;2,084
0,532;42,5;2,984;2,907;2,799;2,066
0,508;42,5;2,893;2,836;2,649;1,98
0,764;42,5;3,109;3,052;2,766;1,919
0,427;42,5;3,294;3,238;2,954;2,051
0,582;42,5;3,448;3,405;3,158;2,244
0,704;42,5;3,578;3,545;3,347;2,482
0,752;42,5;3,71;3,69;3,528;2,715
0,821;42,5;3,811;3,794;3,663;2,89
1,304;42,5;3,869;3,866;3,764;3,022
1,408;42,5;3,923;3,925;3,831;3,128
1,206;42,5;3,945;3,926;3,85;3,198
0,772;42,5;3,947;3,944;3,895;3,253
0,516;42,5;3,938;3,954;3,918;3,27
0,558;42,5;3,909;3,936;3,902;3,265
0,368;42,5;3,902;3,921;3,883;3,26
0,034;;3,908;3,919;3,881;3,271
0,002;42,5;3,926;3,928;3,889;3,306
0,026;42,5;3,94;3,928;3,885;3,352
0,069;42,5;3,937;3,894;3,848;3,382
0,364;42,5;2,698;2,611;2,493;2,02
0,698;42,5;2,602;2,509;2,384;1,887
0,808;42,5;2,534;2,428;2,309;1,79
3,3;42,5;2,477;2,355;2,234;1,741
6,642;42,5;2,4;2,272;2,141;1,68
8,339;42,5;2,279;2,154;1,959;1,584
11,108;42,5;2,157;2,046;1,81;1,471
13,693;42,5;2,028;1,94;1,633;1,243
15,242;42,5;1,861;1,799;1,433;1,012
15,234;42,5;1,602;1,524;1,214;0,82
15,956;42,5;1,138;1,028;0,804;0,575
15,259;42,5;0,799;0,671;0,47;0,299
14,091;42,5;0,554;0,399;0,227;0,108
14,716;42,5;0,375;0,229;0,103;0,053
16,19;42,5;0,461;0,686;1,023;0,411
18,491;42,5;0,652;0,852;1,198;0,46
19,024;42,5;1,069;1,146;1,394;0,558
16,943;42,5;1,68;1,687;1,708;0,771
14,714;42,5;2,473;2,368;2,127;0,878
15,017;42,5;2,952;2,802;2,424;1,022
15,426;42,5;3,384;3,189;2,75;1,327
15,943;42,5;3,763;3,546;3,11;1,756
15,668;42,5;4,121;3,898;3,47;2,132
17,901;42,5;4,539;4,322;3,847;2,405
15,631;42,5;4,978;4,802;4,283;2,693
13,611;42,5;5,381;5,266;4,725;3,031
11,934;42,5;5,75;5,68;5,146;3,523
11,012;42,5;6,032;5,999;5,531;4,09
14,292;42,5;6,226;6,226;5,875;4,656
13,987;42,5;6,36;6,38;6,152;5,162
12,617;42,5;6,484;6,518;6,376;5,553
16,506;42,5;6,618;6,655;6,551;5,821
19,483;42,5;6,766;6,796;6,692;6,002
22,719;42,5;6,929;6,952;6,834;6,157
24,122;42,5;7,095;7,124;6,997;6,342
25,966;42,5;7,232;7,283;7,173;6,57
28,513;42,5;7,327;7,401;7,325;6,791
25,481;42,5;;7,482;7,434;6,96
26,511;42,5;7,44;7,532;7,502;7,069
28,281;41;7,466;7,554;7,529;7,125
31,125;42,5;7,444;7,527;7,501;7,118
31,628;42,5;7,379;7,455;7,427;7,058
32,342;42,5;6,856;6,88;6,901;6,55
32,57;42,5;7,561;7,587;7,47;7,039
34,18;42,5;7,797;7,846;7,767;7,332
33,951;42,5;7,876;7,939;7,893;7,497
33,654;42,5;7,928;8,012;8,018;7,67
32,406;42,5;8,085;8,184;8,213;7,641
30,059;42,5;8,283;8,4;8,309;7,149
27,255;42,5;8,207;8,346;8,046;6,34
24,648;42,5;7,882;7,966;7,444;5,747
26,278;41;7,633;7,611;6,925;5,673
25,338;41;7,597;7,476;6,736;5,974
27,47;39,5;7,732;7,58;6,847;6,291
29,699;39,5;7,882;7,752;7,033;6,459
29,203;41;8,04;7,922;7,214;6,549
28,572;41;8,216;8,104;7,401;6,635
25,998;41;8,361;8,264;7,568;6,711
22,86;41;8,433;8,351;7,664;6,737
19,964;41;8,491;8,395;7,705;6,767
21,863;41;8,565;8,445;7,746;6,865
22,205;41;8,641;8,503;7,814;7,027
15,113;41;8,702;8,557;7,9;7,177
14,803;41;8,743;8,594;7,963;7,225
16,642;41;8,789;8,628;8,001;7,232
14,912;41;8,829;8,683;8,077;7,323
16,019;41;8,801;8,678;8,124;7,411
16,684;41;8,735;8,605;8,09;7,431
13,649;41;8,683;8,534;8,026;7,45
11,523;41;8,562;8,396;7,902;7,458
10,331;39,5;8,364;8,179;7,731;7,419
10,554;39,5;8,078;7,869;7,47;7,236
10,523;39,5;7,669;7,46;7,113;6,935
14,633;41;7,093;6,866;6,572;6,451
22,578;41;6,89;6,664;6,326;6,066
23,988;41;6,712;6,5;6,118;5,659
20,562;39,5;6,527;6,326;5,889;5,297
13,249;41;6,352;6,196;5,725;5,04
6,856;42,5;6,121;6,045;5,604;4,857
7,379;42,5;5,894;5,859;5,474;
7,356;42,5;5,72;5,712;5,374;4,513
7,813;42,5;5,61;5,633;5,35;4,42
6,338;42,5;5,579;5,634;5,418;4,425
4,676;42,5;5,573;5,67;5,535;4,49
2,721;42,5;5,557;5,716;5,674;4,584
3,096;42,5;5,522;5,761;5,817;4,674
4,162;42,5;5,482;5,799;5,946;4,734
3,06;42,5;5,428;5,792;6,018;4,763
1,466;42,5;5,371;5,737;6,04;4,834
1,703;42,5;5,302;5,629;6,009;4,947
3,277;42,5;5,247;5,497;5,917;5,055
3,804;42,5;5,312;5,456;5,807;5,143
3,66;42,5;5,658;5,711;5,848;5,244
4,393;42,5;6,194;6,225;6,075;5,264
4,308;42,5;6,802;6,873;6,505;5,289
4,502;42,5;7,367;;7,06;5,508
6,266;42,5;7,826;7,969;7,599;5,93
6,809;42,5;8,139;8,255;7,965;6,363
5,634;42,5;8,345;8,415;8,162;6,703
4,752;42,5;8,424;8,459;8,255;7,029
7,292;42,5;8,357;8,345;8,183;7,205
10,585;42,5;8,175;8,132;7,986;7,189
14,113;42,5;7,949;7,897;7,774;7,114
14,488;42,5;7,736;7,66;7,552;7,003
16,214;42,5;7,467;7,368;7,264;6,808
17,29;42,5;7,265;7,165;7,034;6,606
13,356;42,5;7,092;6,982;6,805;6,351
13,098;42,5;6,91;6,78;6,541;6,037
11,926;42,5;6,71;6,553;6,266;5,707
10,442;42,5;6,435;6,254;5,932;5,315
12,11;42,5;7,008;6,935;6,754;5,998
11,569;42,5;6,712;6,663;6,465;5,748
12,151;42,5;6,464;6,426;6,195;5,444
11,507;42,5;6,259;6,218;5,94;5,09
10,518;42,5;6,142;6,092;5,767;4,802
9,776;42,5;6,044;5,99;5,638;4,563
8,625;42,5;5,975;5,921;5,577;4,421
7,42;42,5;5,916;5,865;5,537;4,35
7,269;42,5;5,879;5,832;5,507;4,306
9,902;42,5;5,828;5,788;5,458;4,26
11,465;42,5;5,761;5,734;5,397;4,213
9,882;42,5;5,68;5,663;5,332;4,189
7,178;42,5;5,666;5,653;5,337;4,242
3,982;42,5;5,695;5,684;5,389;4,35
2,277;42,5;5,73;5,728;5,479;4,522
1,969;42,5;5,757;5,748;5,551;4,684
2,263;42,5;5,759;5,726;5,567;4,764
4,163;42,5;5,788;5,734;5,576;4,794
6,717;42,5;5,808;5,773;5,619;4,859
8,076;42,5;5,804;5,801;5,69;4,972
7,479;42,5;5,787;5,789;5,728;5,062
9,844;42,5;5,789;5,78;5,748;5,123
14,316;42,5;5,815;5,8;5,783;5,193
15,434;42,5;5,849;5,83;5,825;5,266
15,568;42,5;5,869;5,845;5,849;5,318
15,091;42,5;5,871;5,838;5,858;5,353
13,599;42,5;5,882;5,835;5,873;5,39
15,921;42,5;5,893;5,838;5,896;5,413
16,83;42,5;5,641;5,637;5,77;5,433
16,624;42,5;5,854;5,775;5,791;5,222
17,207;42,5;6,169;6,077;6,058;5,399
18,488;42,5;6,372;6,285;6,233;5,501
20,035;42,5;6,488;6,406;6,356;5,613
20,31;42,5;6,59;6,522;6,476;5,698
20,541;42,5;6,67;6,622;6,575;5,733
18,922;42,5;6,787;6,763;6,722;5,829
21,315;42,5;6,938;6,938;6,915;5,979
